fromid,toid,dist
130300,130500,616.99
130300,130600,440.33
130300,130700,479.78
130300,130800,262.22
130300,130900,369.24
130300,131000,307.14
130300,131100,482.19
130300,140100,790.16
130300,140200,579.31
130300,140300,647.55
130300,140400,863.66
130300,140500,962.07
130300,140600,676.39
130300,140700,804.86
130300,140800,1100.83
130300,140900,698.75
130300,141000,984.6
130300,141100,907.95
130300,150100,784.75
130300,150200,915.6
130300,150300,1244.03
130300,150400,476.71
130300,150500,608.61
130300,150600,1112.15
130300,150700,1595.81
130300,150800,1187.31
130300,150900,738.26
130300,210100,471.9
130300,210200,541.2
130300,210300,423.55
130300,210400,583.37
130300,210500,582.95
130300,210600,624.86
130300,210700,314.13
130300,210800,434.43
130300,210900,410.51
130300,211000,441.78
130300,211100,323.83
130300,211200,572.32
130300,211300,254.06
130300,211400,177.5
130300,220100,810.68
130300,220200,909.81
130300,220300,696.88
130300,220400,683.45
130300,220500,736.17
130300,220600,868.5
130300,220700,810.37
130300,220800,868.21
130300,230100,1116.1
130300,230200,1193.49
130300,230300,1488.74
130300,230400,1475.94
130300,230500,1565.01
130300,230600,1010.2
130300,230700,1378.32
130300,230800,1533.28
130300,230900,1410.05
130300,231000,1219.99
130300,231100,1497.82
130300,231200,1152.72
130300,310000,1310.33
130300,320100,1163.45
130300,320200,1208.74
130300,320300,850.02
130300,320400,1210.23
130300,320500,1259.22
130300,320600,1164.66
130300,320700,828.31
130300,320800,985.31
130300,320900,987.18
130300,321000,1049.97
130300,321100,1154.1
130300,321200,1128.94
130300,321300,912.51
130300,330100,1419.48
130300,330200,1460.44
130300,330300,1730.97
130300,330400,1344.08
130300,330500,1328.97
130300,330600,1460.34
130300,330700,1547.82
130300,330800,1555.64
130300,330900,1494.47
130300,331000,1585.39
130300,331100,1708.75
130300,340100,1195.01
130300,340200,1254.04
130300,340300,1035.18
130300,340400,1107.16
130300,340500,1202.73
130300,340600,954.28
130300,340700,1307.34
130300,340800,1325.42
130300,341000,1428.11
130300,341100,1087.3
130300,341200,1045.54
130300,341300,915.4
130300,341500,1184.64
130300,341600,1005.04
130300,341700,1379.5
130300,341800,1328.65
130300,350100,1991.05
130300,350200,2167.77
130300,350300,2116.39
130300,350400,1942.96
130300,350500,2113.29
130300,350600,2216.04
130300,350700,1781.84
130300,350800,2042.05
130300,350900,1860.98
130300,360100,1625.01
130300,360200,1508.93
130300,360300,1810.23
130300,360400,1561.29
130300,360500,1724.18
130300,360600,1654.88
130300,360700,2003.1
130300,360800,1820.71
130300,360900,1676.45
130300,361000,1769.47
130300,361100,1606.19
130300,370100,581.86
130300,370200,667.96
130300,370300,540.88
130300,370400,786.48
130300,370500,458.81
130300,370600,731.06
130300,370700,601.07
130300,370800,750.94
130300,370900,653.44
130300,371000,832.74
130300,371100,723.39
130300,371300,726.88
130300,371400,510.57
130300,371500,624.11
130300,371600,446.1
130300,371700,778.03
130300,410100,979.08
130300,410200,894.35
130300,410300,1137.68
130300,410400,1090.37
130300,410500,794.15
130300,410600,807.14
130300,410700,873.89
130300,410800,958.39
130300,410900,721.9
130300,411000,1015.55
130300,411100,1037.09
130300,411200,1219.89
130300,411300,1194.49
130300,411400,879.71
130300,411500,1184.61
130300,411600,988.42
130300,411700,1121.24
130300,420100,1369.73
130300,420200,1465.96
130300,420300,1464.49
130300,420500,1564.09
130300,420600,1309.84
130300,420700,1409.9
130300,420800,1390.55
130300,420900,1348.21
130300,421000,1506.99
130300,421100,1354.67
130300,421200,1526.79
130300,421300,1282.96
130300,430100,1706.39
